Unnamed: 0,LSTM,LSTM Transfer Learning,LSTM Hybrid,LSTM Transfer Learning Hybrid,XGBRFRegressor,XGBRegressor,GaussianProcessRegressor,MLPRegressor,RadiusNeighborsRegressor,RandomForestRegressor,HistGradientBoostingRegressor,GradientBoostingRegressor,AdaBoostRegressor,ExtraTreesRegressor,DecisionTreeRegressor,LinearSVR,LinearRegression,Ridge,Lasso,BayesianRidge,OrthogonalMatchingPursuit,ARDRegression,LogisticRegression,GammaRegressor,TweedieRegressor,PassiveAggressiveRegressor,TheilSenRegressor,SARIMAX
mse,851423.8047803713,835439.0663830666,1020079.3337875722,488415.1805080244,87538.5812540501,46555.75289374487,172124.9069055929,11945570.386813289,274085.85,76776.800665,263321.0159775641,70327.0463323328,77834.72597862338,98190.093755,85495.45,728247.8259855378,109385.4514994763,112430.15336068788,110092.32850797437,624235.9951734964,629608.1535409185,112353.93901664788,319529.2,671224.5756132418,521188.7627591436,4474291.458051446,15187708353.058573,164654.19092848178
mae,799.0014515459537,789.045678472519,764.3914863586426,572.837680053711,176.92861404418946,138.04339866638185,330.8999346897518,2695.1487300836725,373.25,172.41649999999998,453.6864206827675,156.24631622998564,185.74291666666664,173.91850000000005,167.95,659.1736361040918,304.49250230993493,304.8273913870333,304.21132446219565,649.761429627473,650.347670224472,304.78737031544443,474.6,645.2173376524778,611.465316625244,1701.4925947111055,27874.2804848102,325.97709679831644
rmse,922.7262891997666,914.0235589868932,1009.9897691499516,698.8670692685587,295.8691961898874,215.76782172915603,414.8793883836517,3456.2364483370184,523.5320907069594,277.0862693548708,513.1481423308128,265.1924703537655,278.9887560075197,313.35298587216306,292.3960499049192,853.3743762180452,330.734714687582,335.3060592364652,331.80164030332094,790.0860682061774,793.4785148577865,335.1923910482573,565.2691394371358,819.2829643128446,721.934043219423,2115.2521027176517,123238.42076665284,405.7760354290058
mape,0.9890083614819588,0.9594210084567124,3.856320187411379,3.116557293355827,0.405747024018791,0.2795579465084693,0.5046985813005318,3.6162604055757392,0.459047369576447,0.4795527517616758,1.1376923100441991,0.270466807916803,0.4254529186617705,0.3023278812230529,0.2914625425960632,1.220237453324953,0.9554609511219478,0.9168895891785688,0.906286571597521,2.0650717714057123,2.0112858866463887,0.8708052354893265,0.7952457126062087,1.2073425126529729,1.2032355527201093,2.443524701466199,707.1382698811849,1.927446391217148
r2,-2.986208146536533,-2.9113705696895624,-3.775822014403846,-1.286669177561246,0.5901606182820349,0.7820346102478788,0.1941431490679238,-54.926942286073206,-0.2832190525871214,0.6405452765620276,-0.2328200986990318,0.6707418286430085,0.6355922666979441,0.5402922147139966,0.5997261794087159,-2.409521087315498,0.4878776287065804,0.473622899986531,0.4845681618182297,-1.9225570102116287,-1.947708458090428,0.4739797213924976,-0.4959763785613917,-2.142548818159043,-1.4401090036820294,-19.94780174094878,-71105.0301864592,0.2291196539779584
mse,967154.5035164664,948667.7918446067,412160.94449702825,250889.94983756728,10678.610941627843,11138.118774760029,403104.72468038,332572.78964816395,10878.25,11324.946375,15628.760131891288,10337.834502778154,15197.19499231066,11656.995910000003,10878.25,124470.21977890682,147751.47352201323,140194.4681112583,145002.11032015528,388675.1708201884,394145.2026323811,155755.16482471497,356011.15,393790.3509990714,296434.968055974,165002.64631401337,17015092015.799246,128314.11989340276
mae,887.5960052669049,877.0272129535675,444.33975982666016,406.2821166992188,84.51232986450195,88.30864143371582,564.7513901018049,431.08940553709255,86.65,88.92750000000001,106.25794562532228,82.09607197036631,108.18137254901964,91.80300000000004,86.65,290.54858995042207,273.04874906631886,269.4108907629037,270.9529035099316,483.8895902103615,485.6813678175978,325.57672439384044,506.05,460.00559080184814,429.8275410542468,302.4524311896137,29428.830583795945,303.2150693680085
rmse,983.4401372307652,973.9957863587535,641.997620320378,500.8891592334249,103.3373646926795,105.53728618246744,634.9052879606375,576.6912429092052,104.2988494663292,106.41873131643696,125.01503962280414,101.67514201012042,123.27690372616703,107.96756878803932,104.2988494663292,352.8033726864113,384.38453860946754,374.4255174413975,380.7914262692311,623.4381852438847,627.8098459186357,394.658288681126,596.6666992551202,627.5271715225336,544.4584171963677,406.2051776061125,130441.9105034852,358.2096032958954
mape,0.9890890904218356,0.9561794698130848,3.29442712432064,3.083124188058436,0.2711813991333378,0.1658312541159514,0.5954405061953688,0.7496445493284665,0.1583634892989926,0.3152572944718693,0.6044152543770754,0.174002089636862,0.2426898704468343,0.1632404854116091,0.1583634892989926,0.3574061772346009,1.419213045228267,1.397169000816752,1.3597337443982158,1.9184126189503408,1.8533552456513325,1.4729723956056104,0.6179513996080312,0.7475397328294779,0.7133338355473127,0.5066731606470831,1080.7645900367515,1.8311485120949385
r2,-4.378474288390354,-4.275667236319082,-1.292081600815508,-0.3952322400512162,0.940614830229872,0.9380594463105194,-1.2417187629682411,-0.8494813306842544,0.9395046109851608,0.9370204732812888,0.9130863949625744,0.9425099331402944,0.9154863858622296,0.9351739018390052,0.9395046109851608,0.307804622408245,0.1783344868678404,0.2203599948411694,0.1936240597715226,-1.161474102836063,-1.191893674219525,0.1338248994882869,-0.9798251568837172,-1.1899202972885274,-0.6485141185528556,0.0823984301478477,-94622.18025592914,0.2864281847679427
mse,1508772.7611554335,1483715.7899601466,111867.33735834938,87446.7770825155,25800.70055361097,27213.15126397335,252241.75783922285,9052785.272811113,27777.9,26435.639060000005,25135.92199841451,18237.16251240302,38874.3537653733,27782.24688,27851.1,992108.2707879056,127490.20469592528,129100.51752530556,126065.54680259452,209982.73787852755,213453.65078093504,170789.18998714213,153005.7,181014.7892184598,124187.1240852578,208656.46811636837,11098335079.946629,283024.5274169646
mae,1168.9715260267258,1158.2038433551788,268.83643264770507,256.9308654785156,140.21414337158205,148.51605072021485,476.5647136985216,2472.8802889796634,145.9,143.73100000000002,140.9103749061301,124.77813152819628,173.00576935319583,145.91199999999998,146.1,752.0401076453848,336.5514368367003,337.5861487380462,334.5612234228203,341.46487898959026,342.7329291635988,383.7821465790679,333.9,310.30041521175605,249.69539120225977,373.67272389385823,23872.135222146197,484.77363533418793
rmse,1228.3211148374164,1218.0787289662958,334.4657491557983,295.71401232020696,160.6259647554248,164.9640908318333,502.2367547673337,3008.784683690594,166.66703333293,162.5904027302965,158.54312346618667,135.04503882928472,197.1658027279916,166.6800734341091,166.88648836859142,996.0463195995984,357.0577049944802,359.30560463942885,355.0571035799657,458.2387345898724,462.0104444500525,413.26648785879325,391.1594304116929,425.45832841590936,352.40193541644715,456.789303855036,105348.63587131364,532.0004956924049
mape,0.9838212297034952,0.9534103619259042,2.5803702699420112,2.5574524260898737,0.2044480588581457,0.4023223559936467,0.4217351847575334,2.7806553573100468,0.1329734991082332,0.24138131029238,0.3544808537529303,0.4078751588594379,0.3118004926426996,0.1329914095559944,0.1332720065709197,0.8521029033272237,1.3074763140493662,1.3032893385631716,1.249934874869589,1.6541077981124903,1.5942703486127263,1.3590788760813504,0.305112559870298,0.4075169725565212,0.342674373313134,0.3763544397446013,942.509539830921,1.8424328568408104
r2,-9.568558217923384,-9.393040694237827,0.2163985869877505,0.3874582187853245,0.8192728468565225,0.809378999388743,-0.7668874805730439,-62.41239095329031,0.8054230823355842,0.8148252688365991,0.8239294466066667,0.8722534508149136,0.7276953285935075,0.8053926335791319,0.8049103354982411,-5.949458717875872,0.1069644911192508,0.095684671305072,0.1169438467080672,-0.4708741085229209,-0.4951869447715968,-0.1963335658239251,-0.0717648739136613,-0.2679612115315346,0.1301017061002529,-0.4615839360364313,-77739.93185816321,-0.9825127229999708
